d,drop,error
10,9.413160860417461e-10,9.413160860417462e-11
50,9.48096536251232e-10,9.480965362512322e-11
100,9.283511034163738e-10,9.283511034163739e-11
500,9.233019824511664e-10,9.233019824511664e-11
1000,9.063775279512286e-10,9.063775279512287e-11
